CORP_KEY|CORP_REP_KEY|BEN_OWN_KEY|DOCDUEDATE|DOCRECEIVEDDATE|DOCEXPIRYDATE|DOCDELFLG|DOCREMARKS|SCANNED|DOCCODE|DOCDESCR|REFERENCENUMBER|ISMANDATORY|SCANREQUIRED|ROLE|DOCTYPECODE|DOCTYPEDESCR|MINDOCSREQD|WAIVEDORDEFEREDDATE|COUNTRYOFISSUE|PLACEOFISSUE|DOCISSUEDATE|IDENTIFICATIONTYPE|CORE_CUST_ID|IS_DOCUMENT_VERIFIED|BANK_ID
C000000705|C000000705|||13-Jan-2006|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000719|C000000719|||30-Aug-2005|30-12-2099||||COMREG||Id: 6-049/50 PanNo: 0||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000722|C000000722|||01-Sep-2005|30-12-2099||||COMREG||Id: 34216/061/62 PanNo: 301954710||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000731|C000000731|||07-Sep-2005|30-12-2099||||DEF_DOC_TYPE||Id: 7210/98 PanNo: 301470986||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000733|C000000733|||07-Sep-2005|30-12-2099||||COMREG||Id: 11857/056/57 PanNo: 300093018||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000740|C000000740|||14-Sep-2005|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000744|C000000744|||13-Sep-2005|30-12-2099||||COMREG||Id: 1126/046/50 PanNo: 300142965||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000750|C000000750|||18-Sep-2005|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000755|C000000755|||13-Sep-2005|30-12-2099||||COMREG||Id: 562/028 PanNo: 300166558||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000759|C000000759|||23-Sep-2005|30-12-2099||||COMREG||Id: 21175/045 PanNo: 300055832||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000795|C000000795|||04-Dec-2009|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000819|C000000819|||06-Jan-2006|30-12-2099||||COMREG||Id: 786/057/58 PanNo: 301212515||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000833|C000000833|||31-Oct-2005|30-12-2099||||COMREG||Id: 14178/057/58 PanNo: 0||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000835|C000000835|||31-Oct-2005|30-12-2099||||COMREG||Id: 61094/059/60 PanNo: 301135096||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000838|C000000838|||06-Nov-2005|30-12-2099||||COMREG||Id: 8938/055 PanNo: 300092745||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000843|C000000843|||07-Nov-2005|30-12-2099||||COMREG||Id: 25/045 PanNo: 500056246||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000848|C000000848|||08-Nov-2005|30-12-2099||||COMREG||Id: 791/057/058 PanNo: 300434314||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000882|C000000882|||21-Nov-2005|30-12-2099||||COMREG||Id: 20416/059/60 PanNo: 300930597||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000896|C000000896|||25-Nov-2005|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000911|C000000911|||30-Nov-2005|30-12-2099||||COMREG||Id: 59698/059/60 PanNo: 300049963||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000925|C000000925|||05-Dec-2005|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000945|C000000945|||15-Dec-2005|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
